response_id,recorded_datetime,status,progress,is_finished,duration,id,snippet,text_match,idx_match
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,4769,Disease ,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,5162,Focal segmental glomerulosclerosis,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2451, Alpha Thalassemia,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,3964,Congenital Disorder of Glycosylation,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,5448,schizophrenia.,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,3027,glaucoma,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2287,Nonsyndromic Sensorineural,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2287,Connexin,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,1783,schizophrenia,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,628,cholesterol,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,628,cholesterol,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,628,LDL ,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2515,hemochromatosis,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,3684,Rheumatoid Arthritis,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,4613,rheumatoid arthritis,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2261,cyclohydrolase,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2261,tetrahydrobiopterin,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2215,Gaucher's disease,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2255,Vasoocclusive Pain,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2255,Impaired Vascular Function in Sickle Cell Anemia,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,3271,allopurinol.,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,3271,allele,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,1380,allele,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,1840,Hemophilia,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,4559,Lymphoproliferative syndrome,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,2620,chromosome 1,True,True
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,838,bronchial asthma,True,True
