response_id,recorded_datetime,status,progress,is_finished,duration,id,snippet,idx_match
R_ylqfW7N5mTbCAdr,2020-09-18 08:51:41,IP Address,100,True,57,5379,Von Willebrand disease,True
R_ylqfW7N5mTbCAdr,2020-09-18 08:51:41,IP Address,100,True,57,1088,Cystic Fibrosis,True
R_ylqfW7N5mTbCAdr,2020-09-18 08:51:41,IP Address,100,True,57,1087,ystic Fibrosi,True
R_ylqfW7N5mTbCAdr,2020-09-18 08:51:41,IP Address,100,True,57,4307,Hirschsprung disease,True
R_2EFfqG0VkHP6Eef,2020-09-18 09:01:08,IP Address,100,True,143,1883,Marfan syndrome,True
R_cHBI2Cg42MmRZSN,2020-09-18 09:06:27,IP Address,100,True,211,2164,gwas,True
R_cHBI2Cg42MmRZSN,2020-09-18 09:06:27,IP Address,100,True,211,2164,spatial recognition,True
R_cHBI2Cg42MmRZSN,2020-09-18 09:06:27,IP Address,100,True,211,916,leprosy,True
R_pN3Kc5bjVbkY4j7,2020-09-18 09:13:59,IP Address,100,True,388,1100,Cystic Fibrosis,True
R_pN3Kc5bjVbkY4j7,2020-09-18 09:13:59,IP Address,100,True,388,1080,Cystic Fibrosis,True
R_pN3Kc5bjVbkY4j7,2020-09-18 09:13:59,IP Address,100,True,388,3706,nylketonur,True
R_pN3Kc5bjVbkY4j7,2020-09-18 09:13:59,IP Address,100,True,388,879,pathogenic,True
R_pN3Kc5bjVbkY4j7,2020-09-18 09:13:59,IP Address,100,True,388,5193,Mutations,True
R_pN3Kc5bjVbkY4j7,2020-09-18 09:13:59,IP Address,100,True,388,5193,Asthenoteratospermia,True
R_pN3Kc5bjVbkY4j7,2020-09-18 09:13:59,IP Address,100,True,388,1385,allele,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,3936,PKHD1,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,1111,Cystic Fibrosis,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,1106,Cystic Fibrosis,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,1093,Cystic Fibrosis,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,1964,lead to trimethylaminuria,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,2996,weight regain,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,2996,obesity-related genes and endometrial cancer risk,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,3069,autosomal dominant Parkinson disorder,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,22,later age at onset and shorter disease course,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,22,Alzheimer's disease,True
R_1GZJCoftfNV96Jn,2020-09-18 11:27:59,Survey Preview,100,True,155,900,rippling muscle disease,True
